,follower
2019-08-14,455
2019-08-15,619
2019-08-16,642
2019-08-17,662
2019-08-18,672
2019-08-19,686
2019-08-20,697
2019-08-21,715
2019-08-22,725
2019-08-23,737
2019-08-24,746
2019-08-25,759
2019-08-26,766
2019-08-27,775
2019-08-28,778
2019-08-29,785
2019-08-30,790
2019-08-31,794
2019-09-01,797
2019-09-02,799
2019-09-03,803
2019-09-04,807
2019-09-05,808
2019-09-06,811
2019-09-07,817
2019-09-08,819
2019-09-09,822
2019-09-10,829
2019-09-11,835
2019-09-12,837
2019-09-13,839
2019-09-14,840
2019-09-15,843
2019-09-16,866
2019-09-17,892
2019-09-18,893
2019-09-19,905
2019-09-21,921
2019-09-22,927
2019-09-23,935
2019-09-24,948
2019-09-25,957
2019-09-26,964
2019-09-27,969
2019-09-28,970
2019-09-29,978
2019-09-30,987
2019-10-01,993
2019-10-02,999
2019-10-03,1000
2019-10-04,1007
2019-10-05,1027
2019-10-06,1037
2019-10-07,1050
2019-10-08,1057
2019-10-09,1059
2019-10-10,1065
2019-10-11,1070
2019-10-12,1088
2019-10-13,3636
2019-10-14,4490
2019-10-15,4712
2019-10-16,4882
2019-10-17,5103
2019-10-18,5230
2019-10-19,6257
2019-10-20,6913
2019-10-21,7150
2019-10-22,7336
2019-10-23,7559
2019-10-24,7768
2019-10-25,7944
2019-10-26,8144
2019-10-27,8334
2019-10-28,8452
2019-10-29,8502
2019-10-30,8541
2019-10-31,8606
2019-11-01,9288
2019-11-02,9537
2019-11-03,9756
2019-11-04,9946
2019-11-05,10202
2019-11-06,10296
2019-11-07,10390
2019-11-08,10478
2019-11-09,10608
2019-11-10,10733
2019-11-11,10988
2019-11-12,11258
2019-11-13,11410
2019-11-14,11525
2019-11-15,11609
2019-11-16,11742
2019-11-17,11865
2019-11-18,11989
2019-11-19,12043
2019-11-20,12106
2019-11-21,12182
2019-11-22,12311
2019-11-23,12416
2019-11-24,12479
2019-11-25,12507
2019-11-26,12610
2019-11-27,12659
2019-11-28,12759
2019-11-29,12865
2019-11-30,12948
2019-12-01,13063
2019-12-02,13199
2019-12-03,13265
2019-12-04,13306
2019-12-05,13352
2019-12-06,13385
2019-12-07,13440
2019-12-08,13520
2019-12-09,13557
2019-12-10,13630
2019-12-11,13738
2019-12-12,13837
2019-12-13,13977
2019-12-14,14094
2019-12-15,14129
2019-12-16,14225
2019-12-17,14284
2019-12-18,14389
2019-12-19,14437
2019-12-20,14484
2019-12-21,14528
2019-12-22,14580
2019-12-23,14604
2019-12-24,14676
2019-12-25,14814
2019-12-26,14822
2019-12-27,14879
2019-12-28,14940
2019-12-29,15078
2019-12-30,15234
2019-12-31,15540
2020-01-01,15823
2020-01-02,16248
2020-01-03,16562
2020-01-04,16799
2020-01-05,17104
2020-01-06,17191
2020-01-07,17315
2020-01-08,17488
2020-01-09,17565
2020-01-10,17596
2020-01-11,17684
2020-01-12,17728
2020-01-13,17779
2020-01-14,17861
2020-01-15,17914
2020-01-16,18010
2020-01-17,18065
2020-01-18,18090
2020-01-19,18262
