,follower
2019-10-29,2268
2019-10-30,2500
2019-10-31,2690
2019-11-01,2785
2019-11-02,3222
2019-11-03,3481
2019-11-04,3796
2019-11-05,4015
2019-11-06,5188
2019-11-07,6464
2019-11-08,6983
2019-11-09,8017
2019-11-10,8672
2019-11-11,9069
2019-11-12,9878
2019-11-13,10645
2019-11-14,11005
2019-11-15,11198
2019-11-16,11451
2019-11-17,11806
2019-11-18,11938
2019-11-19,12146
2019-11-20,12408
2019-11-21,12547
2019-11-22,12679
2019-11-23,12876
2019-11-24,12990
2019-11-25,13130
2019-11-26,13269
2019-11-27,13500
2019-11-28,13666
2019-11-29,13927
2019-11-30,14093
2019-12-01,14254
2019-12-02,14368
2019-12-03,14456
2019-12-04,14529
2019-12-05,14689
2019-12-06,14780
2019-12-07,14870
2019-12-08,14930
2019-12-09,15027
2019-12-10,15119
2019-12-11,15270
2019-12-12,15350
2019-12-13,15436
2019-12-14,15593
2019-12-15,15933
2019-12-16,16087
2019-12-17,16154
2019-12-18,16215
2019-12-19,16298
2019-12-20,16434
2019-12-21,16507
2019-12-22,16603
2019-12-23,16657
2019-12-24,16814
2019-12-25,16886
2019-12-26,16981
2019-12-27,16990
2019-12-28,17020
2019-12-29,17119
2019-12-30,17182
2019-12-31,17258
2020-01-01,17344
2020-01-02,17398
2020-01-03,17437
2020-01-04,17536
2020-01-05,17609
2020-01-06,17696
2020-01-07,17734
2020-01-08,17820
2020-01-09,17881
2020-01-10,17928
2020-01-11,18041
2020-01-12,18160
2020-01-13,18268
2020-01-14,18333
2020-01-15,18369
2020-01-16,18455
2020-01-17,18508
2020-01-18,18544
2020-01-19,18611
2020-01-20,18708
2020-01-21,18741
2020-01-22,18844
2020-01-23,19073
2020-01-24,19143
2020-01-25,19276
2020-01-26,19392
2020-01-27,19519
2020-01-28,19589
2020-01-29,19758
2020-01-30,19870
2020-01-31,20044
2020-02-01,20192
2020-02-02,20324
2020-02-03,20868
2020-02-04,21223
2020-02-05,21694
2020-02-06,22124
2020-02-07,22385
2020-02-08,22512
2020-02-09,22777
2020-02-10,22974
2020-02-11,23139
2020-02-12,23269
2020-02-13,23436
2020-02-14,23567
2020-02-15,23632
2020-02-16,23719
2020-02-17,23846
2020-02-18,23938
2020-02-19,24063
2020-02-20,24145
2020-02-21,24246
2020-02-22,24378
2020-02-23,25207
2020-02-24,26208
2020-02-25,26550
2020-02-26,27099
2020-02-27,27235
2020-02-28,27755
2020-02-29,27945
2020-03-01,28023
2020-03-02,28277
2020-03-03,28382
2020-03-04,28482
2020-03-05,28618
2020-03-06,28749
2020-03-07,28847
2020-03-08,29335
2020-03-09,29744
2020-03-10,29861
2020-03-11,30011
2020-03-12,30126
2020-03-13,30215
2020-03-14,30279
2020-03-15,30316
2020-03-16,30383
2020-03-17,30409
2020-03-18,30565
2020-03-19,30872
2020-03-20,31588
2020-03-21,31711
2020-03-22,31908
2020-03-23,32029
2020-03-24,32104
2020-03-25,32328
2020-03-26,33193
2020-03-27,33281
2020-03-28,33349
2020-03-29,33431
2020-03-30,33459
2020-03-31,33558
2020-04-01,33711
2020-04-02,33871
2020-04-03,34022
2020-04-04,34179
2020-04-05,34314
2020-04-06,34375
2020-04-07,34484
2020-04-08,34573
2020-04-09,34638
2020-04-10,34749
2020-04-11,34999
2020-04-12,35091
2020-04-13,35188
2020-04-14,35256
2020-04-15,35493
2020-04-16,35581
2020-04-17,35666
2020-04-18,35755
2020-04-19,35805
2020-04-20,35844
2020-04-21,35954
2020-04-22,36005
2020-04-23,36083
2020-04-24,36211
2020-04-25,36375
2020-04-26,36590
2020-04-27,36904
2020-04-28,37123
2020-04-29,37251
2020-04-30,37328
2020-05-01,37424
2020-05-02,37556
2020-05-03,37650
2020-05-04,37724
2020-05-05,37844
2020-05-06,37950
2020-05-07,38076
2020-05-08,38213
2020-05-09,38370
2020-05-10,38510
2020-05-12,38624
2020-05-13,38801
2020-05-14,39571
2020-05-15,39607
2020-05-17,40256
2020-05-20,40499
2020-05-21,40706
2020-05-22,40836
