date,472845978
2019-10-01,5619
2019-10-02,5721
2019-10-03,5792
2019-10-04,5869
2019-10-05,6048
2019-10-06,6162
2019-10-07,6244
2019-10-08,6322
2019-10-09,6537
2019-10-10,7094
2019-10-11,7372
2019-10-12,7476
2019-10-13,7536
2019-10-14,7666
2019-10-15,6608
2019-10-16,6759
2019-10-17,6929
2019-10-18,7023
2019-10-19,7116
2019-10-20,7241
2019-10-21,7300
2019-10-22,7397
2019-10-23,7481
2019-10-24,7530
2019-10-25,7596
2019-10-26,7675
2019-10-27,7717
2019-10-28,7755
2019-10-29,7807
2019-10-30,7858
2019-10-31,7901
2019-11-01,8021
2019-11-02,8067
2019-11-03,8270
2019-11-04,8569
2019-11-05,8661
2019-11-06,8705
2019-11-07,8750
2019-11-08,8788
2019-11-09,8854
2019-11-10,8918
2019-11-11,8954
2019-11-12,9030
2019-11-13,9199
2019-11-14,9280
2019-11-15,9385
2019-11-16,9456
2019-11-17,9488
2019-11-18,9512
2019-11-19,9561
2019-11-20,9616
2019-11-21,9820
2019-11-22,9873
2019-11-23,9902
2019-11-24,9925
2019-11-25,10011
2019-11-26,10046
2019-11-27,10062
2019-11-28,10104
2019-11-29,10132
2019-11-30,10181
2019-12-01,10223
2019-12-02,10244
2019-12-03,10259
2019-12-04,10278
2019-12-05,10296
2019-12-06,10305
2019-12-07,10333
2019-12-08,10352
2019-12-09,10386
2019-12-10,10416
2019-12-11,10424
2019-12-12,10439
2019-12-13,10550
2019-12-14,10561
2019-12-15,10574
2019-12-16,10593
2019-12-17,10662
2019-12-18,10697
2019-12-19,10715
2019-12-20,10733
2019-12-21,10768
2019-12-22,10818
2019-12-23,10849
2019-12-24,10863
2019-12-25,10879
2019-12-26,10906
2019-12-27,10919
2019-12-28,10948
2019-12-29,10974
2019-12-30,11005
2019-12-31,11039
2020-01-01,11058
2020-01-02,11067
2020-01-03,11076
2020-01-04,11088
2020-01-05,11124
2020-01-06,11154
2020-01-07,11161
2020-01-08,11178
2020-01-09,11209
2020-01-10,11229
2020-01-11,11242
2020-01-12,11279
2020-01-13,11284
2020-01-14,11321
2020-01-15,11372
2020-01-16,11403
2020-01-17,11424
2020-01-18,11450
2020-01-19,11503
2020-01-20,11535
2020-01-21,11553
2020-01-22,11599
2020-01-23,11659
2020-01-24,11706
2020-01-25,11741
2020-01-26,11824
2020-01-27,11921
2020-01-28,12020
2020-01-29,12091
2020-01-30,12180
2020-01-31,12300
2020-02-01,12446
2020-02-02,12516
2020-02-03,12720
2020-02-04,12863
2020-02-05,12941
2020-02-06,13028
2020-02-07,13107
2020-02-08,13213
2020-02-09,13297
2020-02-10,13498
2020-02-11,13627
2020-02-12,13819
2020-02-13,13895
2020-02-14,13961
2020-02-15,14109
2020-02-16,14188
2020-02-17,14528
2020-02-18,14556
2020-02-19,14693
2020-02-20,15133
2020-02-21,15270
2020-02-22,15360
2020-02-23,15421
2020-02-24,15453
2020-02-25,15530
2020-02-26,15588
2020-02-27,15619
2020-02-28,15652
2020-02-29,15691
2020-03-01,15732
2020-03-02,15768
2020-03-03,15780
2020-03-04,15822
2020-03-05,15864
2020-03-06,15969
2020-03-07,16048
2020-03-08,16074
2020-03-09,16119
2020-03-10,16186
2020-03-11,16235
2020-03-12,16329
2020-03-13,16384
2020-03-14,16433
2020-03-15,16497
2020-03-16,16534
2020-03-17,16545
2020-03-18,16726
2020-03-19,16760
2020-03-20,16796
2020-03-21,16830
2020-03-22,16915
2020-03-23,16995
2020-03-24,17119
2020-03-25,17209
2020-03-26,17288
2020-03-27,17356
2020-03-28,17416
2020-03-29,17452
2020-03-30,17499
2020-03-31,17563
2020-04-01,17607
2020-04-02,17693
2020-04-03,18574
2020-04-04,18581
2020-04-05,18618
2020-04-06,18687
2020-04-07,18721
2020-04-08,18792
2020-04-09,18841
2020-04-10,18887
2020-04-11,18916
2020-04-12,18966
2020-04-13,18994
2020-04-14,19034
2020-04-15,19065
2020-04-16,19129
2020-04-17,19166
2020-04-18,19220
2020-04-19,19261
2020-04-20,19364
2020-04-21,19432
2020-04-22,19475
2020-04-23,19552
2020-04-24,19620
2020-04-25,19714
2020-04-26,19766
2020-04-27,19797
2020-04-28,19826
2020-04-29,19866
2020-04-30,19909
2020-05-01,19983
2020-05-02,20032
2020-05-03,20074
2020-05-04,20099
2020-05-05,20448
2020-05-06,20495
2020-05-07,20537
2020-05-08,20581
2020-05-09,20614
2020-05-10,20636
2020-05-11,20653
2020-05-12,20708
2020-05-13,20737
2020-05-14,20764
2020-05-15,20800
2020-05-16,20817
2020-05-17,20862
2020-05-18,20885
2020-05-19,20887
2020-05-20,20908
2020-05-21,20929
2020-05-22,20914
2020-05-23,20913
2020-05-24,20954
2020-05-25,20977
2020-05-26,20996
2020-05-27,21032
2020-05-28,21061
2020-05-29,21084
2020-05-30,21115
